t2	12:13	ooooxoooooooox : ooooxooooooooo
t1	4:2	ooxoo : xoxo-
t1	6:5	oxooooo : ooxooox
t1	7:6	xxooooooo : xoxooooox
t1	3:0	xooo- : xxx--
t2	4:5	xoxooox : oooxxoo
t1	5:4	oooxoo : oooxox
t1	9:8	ooooooooo : oooooooox
t1	6:5	oooooo : ooooox
t2	3:4	xoxoo : oxooo
t1	8:7	oxooooooo : oooxoooox
t2	2:3	ooxxx : ooxo-
t1	5:3	ooooo : xooo-
t1	4:2	xoooo : xoox-
t1	5:4	oooxoo : xoooox
t2	4:5	xoooo : ooooo
t1	4:2	oooo- : xoox-
t2	3:4	ooxox : oooo-
t1	4:2	xoooo : xoox-
t2	11:12	oxooxooxoooooox : oxooxooxooooooo
t2	9:10	ooooooooox : oooooooooo
t1	4:2	oooxo : xoox-
t1	4:2	oooo- : xoox-
t1	5:4	xooooo : xoooox
t2	4:5	oooox : ooooo
t1	9:8	oxoooooooo : oooxooooox
t2	3:4	ooxox : oxooo
t2	2:4	xoox- : oooo-
t2	2:4	ooxx- : oooo-
t1	3:0	ooox- : xxx--
t2	4:5	oooxo : ooooo
t1	7:6	oooxoooo : ooooxoox
t1	5:3	ooooo : oxoo-
t1	4:2	oooo- : oxox-
t2	3:4	xxooo : xoooo
t1	5:3	ooooo : ooxo-
t2	5:6	oooooxx : oooooxo
t2	3:4	oooxx : oooxo
t2	4:5	xoooo : ooooo
t1	14:13	oooooooooooooo : ooooooooooooox
t1	12:11	oxxoxoooooooxooo : ooxxxoooooooxoox
t2	7:8	ooooooox : oooooooo
t2	2:3	xxoox : ooxo-
t1	4:3	oxxooo : oooxxx
t1	5:3	ooooo : xooo-
t1	4:2	xoooo : oxox-
t1	4:2	oooo- : ooxx-
t1	5:4	ooooo : oooox
t2	3:4	xooox : xoooo
t2	4:5	oxooo : ooooo
t1	4:1	oooo- : oxx--
t2	7:8	ooooooox : oooooooo
t1	4:2	oooo- : ooxx-
t1	3:2	xxxooo : xxooxx
t1	4:3	oxooo : xooox
t2	7:8	oxooooooxx : oooxooooxo
t1	10:9	oxoxoooooooo : xxooooooooox
t1	5:3	ooooo : oxoo-
t2	4:5	xoooo : ooooo
t2	4:5	oxooo : ooooo
t2	7:8	ooooxooox : xoooooooo
t1	4:3	oooox : ooxox
t2	5:6	ooooox : oooooo
t1	6:5	oooooo : ooooox
t2	1:3	xxxo- : ooo--
t1	5:4	xooxooo : oooxxox
t2	4:5	oxooo : ooooo
t1	5:4	ooooo : oooox
t2	3:4	oxoxo : xoooo
t1	5:3	ooooo : xooo-
t2	4:5	xoooo : ooooo
t2	4:5	xoooo : ooooo
t1	4:3	xoooo : ooxox
t2	1:3	xxxo- : ooo--
t1	5:3	ooooo : oxoo-
t2	3:4	xoxoo : oooxo
t2	3:4	oxoxo : xoooo
t1	7:6	oxoooooo : ooxoooox
t1	4:3	ooxoo : oxoox
t2	6:7	xoooooox : ooooxooo
t2	2:4	xoox- : oooo-
t1	5:3	ooooo : oxoo-
t2	3:4	xooxox : oxxooo
t1	4:2	oooxo : ooxx-
t1	4:2	oxooo : xxoo-
t1	4:1	oooo- : xxo--
t1	5:3	ooooo : ooox-
t2	3:4	xoxoox : oxxooo
t1	7:6	ooooooo : oooooox
t1	4:1	oooo- : xxo--
t2	6:7	ooooxoox : oooxoooo
t1	3:1	ooox- : oxxx-
t1	5:4	oxoooo : xoooox
t1	4:2	oooo- : ooxx-
t1	4:1	oooo- : oxx--
t2	4:5	oooox : ooooo
t2	3:4	oxoox : oooo-
t2	7:8	ooooooox : oooooooo
t2	3:4	ooxxo : xoooo
t1	4:3	oxooxo : oxxoox
t2	4:5	oooxo : ooooo
t2	2:4	oxxo- : oooo-
t2	5:6	oooxoox : oxooooo
t1	7:6	ooooooo : oooooox
t2	4:5	oooox : ooooo
t1	7:6	ooooxooo : ooooxoox
t1	5:4	oxoooo : xoooox
t2	2:4	xoox- : oooo-
t2	5:6	xooooox : oooxooo
t1	4:2	ooxoo : ooxx-
t1	5:4	ooooo : oooox
t2	7:8	ooooooxox : ooooooxoo
t2	3:4	oxxoo : xoooo
t2	4:5	xoxooox : ooxoxoo
t1	5:4	ooooo : oooox
t2	4:5	oxooo : ooooo
t2	2:3	oxoxx : oxoo-
t1	5:3	ooooo : ooxo-
t2	4:5	oxooo : ooooo
t1	4:0	oooo- : xxx--
t2	4:5	oooxox : oxoooo
t1	4:2	oooo- : ooxx-
t2	4:5	oxooo : ooooo
t1	4:2	oooxo : xxoo-
t1	5:3	ooooo : xooo-
t1	5:4	oooxoo : ooxoox
t1	5:4	oxoooo : oxooox
t1	5:4	ooooo : oooox
