t2	12:13	oxoooooooooxoox : ooxooooooooxooo
t1	4:2	oooo- : xoox-
t2	7:8	ooooxooox : xoooooooo
t2	1:4	xox-- : oooo-
t1	4:2	oooo- : xoox-
t2	4:5	ooxoo : ooooo
t2	4:5	oxooo : ooooo
t2	4:5	oxooo : ooooo
t1	4:2	oxooo : xoox-
t2	2:4	oxox- : oooo-
t1	5:4	ooxoxoo : xoooxox
t2	6:7	oooooox : ooooooo
t2	1:4	xxo-- : oooo-
t1	5:4	ooooo : oooox
t2	2:4	ooxx- : oooo-
t2	2:4	ooxx- : oooo-
t1	7:6	ooooooo : oooooox
t2	2:4	xoox- : oooo-
t2	2:4	ooxx- : oooo-
t2	4:5	oooox : ooooo
t2	1:4	xxo-- : oooo-
t2	1:4	xxo-- : oooo-
t1	4:2	oooo- : xoxo-
t1	3:1	ooo-- : oxxx-
t2	4:5	ooxoo : ooooo
t1	3:1	ooo-- : oxxx-
t1	6:5	oooooo : ooooox
t1	5:3	ooooo : ooox-
t1	3:1	ooo-- : xxox-
t2	2:4	ooxx- : oooo-
t2	4:5	oxooo : ooooo
t1	4:2	oooo- : oxox-
t2	2:3	xxoox : xoxoo
t1	4:3	oooox : ooxox
t2	3:4	ooxoxx : ooxoxo
t1	3:1	ooo-- : xoxx-
t1	4:2	oooo- : oxxo-
t1	4:2	xoooo : xoxo-
t2	3:4	oooxx : oooo-
t2	6:7	oxooooox : ooxooooo
t1	2:0	xoo-- : xxxx-
t1	9:8	ooooooxooo : ooooooxoox
t2	4:5	oxooox : oooxoo
t2	3:4	xooox : oooo-
t2	2:4	xoox- : oooo-
t2	1:4	oxx-- : oooo-
t1	4:2	oooo- : oxox-
t2	3:4	ooxox : oxooo
t2	3:4	oxoox : oooxo
t2	3:4	oxoox : oooo-
t2	2:3	oxxox : oxoo-
t1	4:2	oooo- : xxoo-
t1	5:4	ooooo : oooox
t1	5:4	oxoooo : oooxox
t1	5:3	ooooo : ooox-
t2	2:3	oxxox : xooo-
t1	7:6	ooxooooo : oxooooox
t1	5:3	ooooo : xooo-
t1	7:6	oxoooooo : oooxooox
t1	4:2	oooo- : xxoo-
t1	4:2	oooo- : ooxx-
t2	1:4	xxo-- : oooo-
t2	3:4	xooox : oooo-
t2	6:7	oooooox : ooooooo
t1	3:2	xooox : xooxx
t2	4:5	oooxox : xooooo
t1	5:3	ooooo : ooxo-
t2	1:4	oxx-- : oooo-
t2	2:4	oxox- : oooo-
t2	1:3	xoxx- : ooxo-
t1	4:3	oxooo : ooxox
t1	4:2	oooo- : ooxx-
t2	4:5	xoooo : ooooo
t2	1:4	xox-- : oooo-
t1	5:3	ooooo : ooox-
t1	3:1	ooo-- : oxxx-
t1	5:3	ooooo : xooo-
t1	3:1	ooo-- : xxox-
t2	1:4	xox-- : oooo-
t2	5:6	ooooox : oooooo
t1	5:3	ooooo : xooo-
t1	3:1	ooo-- : xxox-
t2	4:5	oxoxoox : xoooxoo
t1	6:5	oooooo : ooooox
t1	5:3	ooooo : ooxo-
t2	3:4	oxoxo : oooxo
t2	4:5	oooxo : ooooo
t1	4:2	oooo- : xoox-
t1	3:0	ooo-- : xxx--
t2	5:6	ooooox : oooooo
t2	1:4	oxx-- : oooo-
t2	0:3	xxx-- : ooo--
t2	1:4	oxx-- : oooo-
t1	5:3	ooooo : xooo-
t1	4:2	oooo- : xoox-
t1	4:2	oooo- : oxxo-
t2	3:4	oxoxo : oxooo
t1	6:5	oooxooo : xooooox
t2	3:4	xooox : oooo-
t2	4:5	oooxo : ooooo
t1	3:0	ooo-- : xxx--
t2	4:5	xoooox : xooooo
t1	4:2	oooo- : oxxo-
t1	3:1	xooo- : xoxx-
t2	2:3	oxoxx : oxoo-
t2	2:4	oxox- : oooo-
t2	4:5	ooxoo : ooooo
t2	1:4	xox-- : oooo-
t1	4:2	oooo- : xoxo-
t1	3:1	ooo-- : xoxx-
t1	3:0	ooo-- : xxx--
t2	2:4	oxox- : oooo-
t1	3:1	xooo- : xxox-
t1	4:2	oooo- : ooxx-
t1	5:3	ooooo : ooxo-
t1	4:2	ooxoo : ooxx-
t2	2:4	xoox- : oooo-
t2	2:4	oxox- : oooo-
t2	3:4	xooox : oooo-
t1	3:1	ooo-- : xoxx-
t1	3:1	ooxo- : xoxx-
t1	4:2	oooo- : xoxo-
t2	4:5	oxooo : ooooo
t1	3:1	ooo-- : oxxx-
t1	5:4	ooooo : oooox
t2	5:6	ooooox : oooooo
t1	4:2	oooxo : xoxo-
t2	1:4	xxo-- : oooo-
t2	5:6	ooooox : oooooo
t1	5:3	ooooo : ooox-
t1	3:1	ooo-- : oxxx-
t2	4:5	oxooo : ooooo
t1	5:4	ooooo : oooox
t1	4:2	oooo- : oxxo-
t2	1:3	xoxx- : oxoo-
t1	4:2	ooxoo : oxox-
t1	3:2	xooxo : xoxox
t2	4:5	oooxo : ooooo
t1	3:0	ooo-- : xxx--
t1	4:2	oooo- : xxoo-
t1	3:1	oxoo- : xxxo-
t1	5:3	ooooo : oxoo-
t1	4:2	oooo- : oxxo-
t2	4:5	oxooo : ooooo
t2	3:4	ooxox : xoooo
t1	3:1	ooo-- : oxxx-
t2	0:3	xxx-- : ooo--
t2	8:9	ooooxoooox : oooxoooooo
t1	4:2	oooo- : xoox-
t1	4:2	oooo- : xoxo-
t1	10:9	oooooooooo : ooooooooox
t1	3:1	ooo-- : xoxx-
t1	5:3	ooooo : xooo-
t1	5:4	oooxoo : ooxoox
t2	1:4	oxx-- : oooo-
t2	4:5	xoooo : ooooo
t1	5:3	ooooo : ooxo-
t1	4:2	oooo- : xoox-
t1	3:0	ooo-- : xxx--
t1	3:0	ooo-- : xxx--
t1	5:3	ooooo : oxoo-
t2	3:4	xooox : oooo-
t1	4:2	oxooo : oxox-
t2	0:3	xxx-- : ooo--
t1	4:2	oooo- : ooxx-
t2	1:4	xxo-- : oooo-
t1	5:3	ooooo : ooxo-
t2	2:4	oxox- : oooo-
t2	1:4	oxx-- : oooo-
t1	5:3	ooooo : ooxo-
t1	4:3	xoooo : oooxx
t2	1:4	oxx-- : oooo-
t1	3:1	xoxoo : xoxx-
t1	3:1	ooo-- : oxxx-
t2	1:4	xxo-- : oooo-
t2	3:4	ooxox : ooxoo
t1	7:6	ooooooo : oooooox
t1	4:2	oooo- : oxox-
t1	4:2	oooxo : xoxo-
t2	4:5	xoooox : oxoooo
t2	6:7	oooooox : ooooooo
t2	0:3	xxx-- : ooo--
t2	4:5	oooox : ooooo
t2	4:5	oxooo : ooooo
t1	4:2	oooo- : xoox-
t2	4:5	oxooo : ooooo
t2	2:4	xoox- : oooo-
t1	3:0	ooo-- : xxx--
t1	7:6	oxoooooo : ooooxoox
t2	2:4	ooxx- : oooo-
t1	4:3	ooxxoo : ooxoxx
t2	2:3	xooxx : ooxo-
t2	1:4	oxx-- : oooo-
t1	5:4	ooooo : oooox
t1	5:3	ooooo : xooo-
t1	4:2	oooo- : oxox-
t1	4:2	xoooo : ooxx-
t1	4:2	oooo- : xxoo-
t1	5:4	ooooo : oooox
